Year,Year Code,State,State Code,Deaths,Population,Crude Rate
2009,2009,New York,36,422,19307066,2.2
2009,2009,North Carolina,37,678,9449566,7.2
2009,2009,North Dakota,38,50,664968,7.5
2009,2009,Ohio,39,590,11528896,5.1
2009,2009,Oklahoma,40,363,3717572,9.8
2009,2009,Oregon,41,345,3808600,9.1
2009,2009,Pennsylvania,42,825,12666858,6.5
2009,2009,Rhode Island,44,40,1053646,3.8
2009,2009,South Carolina,45,377,4589872,8.2
2009,2009,South Dakota,46,61,807067,7.6
2009,2009,Tennessee,47,574,6306019,9.1
2009,2009,Texas,48,1583,24801761,6.4
2009,2009,Utah,49,217,2723421,8
2009,2009,Vermont,50,59,624817,9.4
2009,2009,Virginia,51,527,7925937,6.6
2009,2009,Washington,53,470,6667426,7
2009,2009,West Virginia,54,178,1847775,9.6
2009,2009,Wisconsin,55,345,5669264,6.1
2009,2009,Wyoming,56,82,559851,14.6
2010,2010,Alabama,1,454,4779736,9.5
2010,2010,Alaska,2,107,710231,15.1
2010,2010,Arizona,4,620,6392017,9.7
2010,2010,Arkansas,5,266,2915918,9.1
2010,2010,California,6,1492,37253956,4
2010,2010,Colorado,8,427,5029196,8.5
2010,2010,Connecticut,9,110,3574097,3.1
2010,2010,Delaware,10,43,897934,4.8
2010,2010,District of Columbia,11,13,601723,Unreliable
2010,2010,Florida,12,1454,18801310,7.7
2010,2010,Georgia,13,718,9687653,7.4
2010,2010,Hawaii,15,37,1360301,2.7
2010,2010,Idaho,16,182,1567582,11.6
2010,2010,Illinois,17,442,12830632,3.4
2010,2010,Indiana,18,455,6483802,7
2010,2010,Iowa,19,177,3046355,5.8
2010,2010,Kansas,20,210,2853118,7.4
2010,2010,Kentucky,21,404,4339367,9.3
2010,2010,Louisiana,22,385,4533372,8.5
2010,2010,Maine,23,95,1328361,7.2
2010,2010,Maryland,24,222,5773552,3.8
2010,2010,Massachusetts,25,138,6547629,2.1
2010,2010,Michigan,26,601,9883640,6.1
2010,2010,Minnesota,27,280,5303925,5.3
2010,2010,Mississippi,28,256,2967297,8.6
2010,2010,Missouri,29,489,5988927,8.2
2010,2010,Montana,30,141,989415,14.3
2010,2010,Nebraska,31,106,1826341,5.8
2010,2010,Nevada,32,289,2700551,10.7
2010,2010,New Hampshire,33,102,1316470,7.7
2010,2010,New Jersey,34,187,8791894,2.1
2010,2010,New Mexico,35,204,2059179,9.9
2010,2010,New York,36,459,19378102,2.4
2010,2010,North Carolina,37,707,9535483,7.4
2010,2010,North Dakota,38,56,672591,8.3
2010,2010,Ohio,39,724,11536504,6.3
2010,2010,Oklahoma,40,376,3751351,10
2010,2010,Oregon,41,376,3831074,9.8
2010,2010,Pennsylvania,42,762,12702379,6
