level_0,index,incident_id,incident_date,state,city_or_county,address,killed,injured,incident_url,year,month-year
311,311,2071343,2021-07-22,Texas,Houston,9717 N Houston Rosslyn Rd,1,5,https://www.gunviolencearchive.org/incident/2071343,2021,07-2021
312,312,2070329,2021-07-21,Illinois,Chicago,1400 block of S Ridgeway Ave,0,5,https://www.gunviolencearchive.org/incident/2070329,2021,07-2021
313,313,2069490,2021-07-21,Maryland,Hyattsville (Adelphi),1836 Metzerott Rd,1,4,https://www.gunviolencearchive.org/incident/2069490,2021,07-2021
314,314,2070645,2021-07-21,Illinois,Chicago,1647 N La Salle Dr,0,8,https://www.gunviolencearchive.org/incident/2070645,2021,07-2021
315,315,2070310,2021-07-21,Illinois,Chicago,3300 block of W Douglas Blvd,2,3,https://www.gunviolencearchive.org/incident/2070310,2021,07-2021
316,316,2068568,2021-07-20,Texas,Jacksonville,16241 TX-110,4,0,https://www.gunviolencearchive.org/incident/2068568,2021,07-2021
317,317,2067728,2021-07-19,New Jersey,Perth Amboy,417 Fayette St,0,6,https://www.gunviolencearchive.org/incident/2067728,2021,07-2021
318,318,2068061,2021-07-19,Illinois,Chicago,3308 W Flournoy St,0,4,https://www.gunviolencearchive.org/incident/2068061,2021,07-2021
319,319,2066335,2021-07-18,Ohio,Toledo,5205 Telegraph Rd,1,3,https://www.gunviolencearchive.org/incident/2066335,2021,07-2021
320,320,2067135,2021-07-18,Florida,Gainesville,1634 NE 8th Ave,1,4,https://www.gunviolencearchive.org/incident/2067135,2021,07-2021
321,321,2066680,2021-07-18,North Carolina,Burlington,421 N Church St,0,4,https://www.gunviolencearchive.org/incident/2066680,2021,07-2021
322,322,2066905,2021-07-18,Arizona,Tucson,1575 E 36th St,4,3,https://www.gunviolencearchive.org/incident/2066905,2021,07-2021
323,323,2067290,2021-07-18,Texas,Houston,3421 Antoine Dr,3,2,https://www.gunviolencearchive.org/incident/2067290,2021,07-2021
324,324,2066812,2021-07-18,California,Walnut Creek,SOS Dr and San Luis Rd,1,3,https://www.gunviolencearchive.org/incident/2066812,2021,07-2021
325,325,2065252,2021-07-17,Oregon,Portland,300 block of SW 3rd Ave,1,6,https://www.gunviolencearchive.org/incident/2065252,2021,07-2021
326,326,2066189,2021-07-17,Illinois,Chicago,5006 W Ohio St,0,6,https://www.gunviolencearchive.org/incident/2066189,2021,07-2021
327,327,2065634,2021-07-16,California,Sacramento,L St and Front St,2,4,https://www.gunviolencearchive.org/incident/2065634,2021,07-2021
328,328,2064260,2021-07-16,New Hampshire,Manchester,I 293 and Brown Ave,0,4,https://www.gunviolencearchive.org/incident/2064260,2021,07-2021
329,329,2065009,2021-07-16,Pennsylvania,Philadelphia,2700 block of Ruby Terrace,1,4,https://www.gunviolencearchive.org/incident/2065009,2021,07-2021
330,330,2066249,2021-07-16,South Carolina,Greenville,840 Mauldin Rd,1,3,https://www.gunviolencearchive.org/incident/2066249,2021,07-2021
331,331,2064992,2021-07-16,District of Columbia,Washington,2900 block of MLK Ave SE,1,5,https://www.gunviolencearchive.org/incident/2064992,2021,07-2021
332,332,2065118,2021-07-16,Illinois,Chicago,647 N Lockwood Ave,1,4,https://www.gunviolencearchive.org/incident/2065118,2021,07-2021
333,333,2063495,2021-07-15,Texas,Levelland,1105 10th St,1,5,https://www.gunviolencearchive.org/incident/2063495,2021,07-2021
334,334,2065533,2021-07-15,Massachusetts,Boston,265 Centre St,0,4,https://www.gunviolencearchive.org/incident/2065533,2021,07-2021
335,335,2063897,2021-07-15,Missouri,Lake Ozark,1312 Bagnell Dam Blvd,1,3,https://www.gunviolencearchive.org/incident/2063897,2021,07-2021
336,336,2062097,2021-07-14,Illinois,Chicago,4600 block of W Monroe St,0,5,https://www.gunviolencearchive.org/incident/2062097,2021,07-2021
337,337,2062359,2021-07-14,Illinois,Chicago,1533 W 79th St,0,5,https://www.gunviolencearchive.org/incident/2062359,2021,07-2021
338,338,2063394,2021-07-14,Delaware,Claymont,50 block of Balfour Ave,2,2,https://www.gunviolencearchive.org/incident/2063394,2021,07-2021
339,339,2060865,2021-07-13,Indiana,Indianapolis,4200 block of Arborcrest Dr,0,4,https://www.gunviolencearchive.org/incident/2060865,2021,07-2021
340,340,2060949,2021-07-13,Michigan,Detroit,9855 Chalmers St,1,6,https://www.gunviolencearchive.org/incident/2060949,2021,07-2021
341,341,2060293,2021-07-12,New Jersey,Iselin,515 US-1,0,4,https://www.gunviolencearchive.org/incident/2060293,2021,07-2021
342,342,2060706,2021-07-12,Pennsylvania,Beaver Falls,900 9th St,2,3,https://www.gunviolencearchive.org/incident/2060706,2021,07-2021
343,343,2060605,2021-07-12,New York,Corona (Queens),180th St and 145th Dr,0,4,https://www.gunviolencearchive.org/incident/2060605,2021,07-2021
344,344,2059440,2021-07-11,Texas,El Paso (Socorro),1300 Joe Battle Blvd,1,5,https://www.gunviolencearchive.org/incident/2059440,2021,07-2021
345,345,2059404,2021-07-10,Pennsylvania,Philadelphia,W Butler St and N 9th St,0,6,https://www.gunviolencearchive.org/incident/2059404,2021,07-2021
346,346,2058950,2021-07-10,Massachusetts,Boston,34 Cameron St,0,4,https://www.gunviolencearchive.org/incident/2058950,2021,07-2021
347,347,2058837,2021-07-10,Ohio,Springfield,405 S Burnett Rd,1,3,https://www.gunviolencearchive.org/incident/2058837,2021,07-2021
348,348,2058421,2021-07-09,California,Los Angeles,7114 W Manchester Ave,0,4,https://www.gunviolencearchive.org/incident/2058421,2021,07-2021
349,349,2057427,2021-07-08,Connecticut,Hartford,Nelson St and Garden St,0,4,https://www.gunviolencearchive.org/incident/2057427,2021,07-2021
350,350,2053262,2021-07-05,Ohio,Toledo,Lawrence Ave and Wall St,1,11,https://www.gunviolencearchive.org/incident/2053262,2021,07-2021
351,351,2053500,2021-07-05,California,Santa Rosa,1500 block of Beachwood Dr,1,3,https://www.gunviolencearchive.org/incident/2053500,2021,07-2021
352,352,2055252,2021-07-05,New York,Buffalo,50 block of Donovan Dr,1,3,https://www.gunviolencearchive.org/incident/2055252,2021,07-2021
353,353,2053048,2021-07-05,Illinois,Chicago,6108 S Wabash Ave,2,4,https://www.gunviolencearchive.org/incident/2053048,2021,07-2021
354,354,2052524,2021-07-04,California,Thermal,Jackson St and Airport Blvd,0,4,https://www.gunviolencearchive.org/incident/2052524,2021,07-2021
