incident_id,incident_date,state,city_or_country,address,killed,injured,incident_url,year,month-year,subject1_age,subject2_age,subject3_age,subject4_age,subject_gender,no_of_subject
2431069,10/5/22,Texas,Baytown,2000 block of Tri City Beach Rd,5,2,https://www.gunviolencearchive.org/incident/2431069,2022,Oct-22,,,,,,
2428950,10/2/22,Tennessee,Nashville,600 block of S 7th St,0,4,https://www.gunviolencearchive.org/incident/2428950,2022,Oct-22,,,,,,
2428715,10/2/22,Washington,Seattle,4300 block of University Way NE,0,4,https://www.gunviolencearchive.org/incident/2428715,2022,Oct-22,,,,,,
2428678,10/1/22,California,Oakland,988 Apgar St,2,2,https://www.gunviolencearchive.org/incident/2428678,2022,Oct-22,,,,,,
2427999,10/1/22,Pennsylvania,Philadelphia,5000 block of Frankford Ave,0,4,https://www.gunviolencearchive.org/incident/2427999,2022,Oct-22,,,,,,
2427775,9/30/22,Oklahoma,Tulsa,4929 N Peoria Ave,1,3,https://www.gunviolencearchive.org/incident/2427775,2022,Sep-22,,,,,,
2428456,9/30/22,Mississippi,Marks,1st St and W Main St,0,5,https://www.gunviolencearchive.org/incident/2428456,2022,Sep-22,,,,,,
2426627,9/29/22,Texas,Mc Gregor,901 S Monroe St,5,1,https://www.gunviolencearchive.org/incident/2426627,2022,Sep-22,,,,,,
2426042,9/28/22,California,Oakland,8251 Fontaine St,1,5,https://www.gunviolencearchive.org/incident/2426042,2022,Sep-22,,,,,,
2425825,9/28/22,Ohio,Columbus,1680 Karl Ct,0,5,https://www.gunviolencearchive.org/incident/2425825,2022,Sep-22,,,,,,
2425799,9/28/22,Maryland,Baltimore,5500 block of Bowleys Ln,0,4,https://www.gunviolencearchive.org/incident/2425799,2022,Sep-22,,,,,,
2426382,9/28/22,Alabama,Uniontown,100-104 Birch Rd,0,5,https://www.gunviolencearchive.org/incident/2426382,2022,Sep-22,,,,,,
2425393,9/27/22,New York,Corona (Queens),88-01 Atlantic Ave,0,4,https://www.gunviolencearchive.org/incident/2425393,2022,Sep-22,,,,,,
2426137,9/27/22,New York,New York (Manhattan),W 116th St and 7th Ave,0,4,https://www.gunviolencearchive.org/incident/2426137,2022,Sep-22,,,,,,
2426061,9/27/22,North Carolina,Goldsboro,1200 block of Olivia Ln,0,4,https://www.gunviolencearchive.org/incident/2426061,2022,Sep-22,,,,,,
2425199,9/27/22,Pennsylvania,Philadelphia,6498 Ridge Ave,1,4,https://www.gunviolencearchive.org/incident/2425199,2022,Sep-22,,,,,,
2425839,9/27/22,Florida,Jacksonville,A Philip Randolph Blvd and Union St,0,4,https://www.gunviolencearchive.org/incident/2425839,2022,Sep-22,,,,,,
2423747,9/25/22,Pennsylvania,Harrisburg,2300 block of Woodlawn St,0,4,https://www.gunviolencearchive.org/incident/2423747,2022,Sep-22,,,,,,
2423338,9/25/22,Indiana,Hammond,6217 Kennedy Ave,1,3,https://www.gunviolencearchive.org/incident/2423338,2022,Sep-22,,,,,,
2423538,9/24/22,Ohio,Columbus,E 5th Ave and Osborn Ave,1,3,https://www.gunviolencearchive.org/incident/2423538,2022,Sep-22,,,,,,
2423331,9/24/22,Georgia,Louisville,Forrest Dr,1,3,https://www.gunviolencearchive.org/incident/2423331,2022,Sep-22,,,,,,
2424602,9/23/22,California,Castroville,,0,4,https://www.gunviolencearchive.org/incident/2424602,2022,Sep-22,,,,,,
2421430,9/22/22,Illinois,Chicago,E 35th St and S Prairie Ave,0,4,https://www.gunviolencearchive.org/incident/2421430,2022,Sep-22,,,,,,
2420406,9/20/22,New York,Mount Vernon,333 S 8th Ave,0,4,https://www.gunviolencearchive.org/incident/2420406,2022,Sep-22,,,,,,
2420637,9/20/22,Michigan,Niles,620 N 6th St,2,3,https://www.gunviolencearchive.org/incident/2420637,2022,Sep-22,,,,,,
2419473,9/19/22,Georgia,Swainsboro,N Coleman St,1,3,https://www.gunviolencearchive.org/incident/2419473,2022,Sep-22,,,,,,
2417634,9/18/22,New York,Corona (Queens),41st Ave and Warren St,1,3,https://www.gunviolencearchive.org/incident/2417634,2022,Sep-22,,,,,,
2417641,9/18/22,Wisconsin,Kenosha,2232 Roosevelt Rd,2,2,https://www.gunviolencearchive.org/incident/2417641,2022,Sep-22,,,,,,
2417863,9/18/22,Nevada,Las Vegas,4800 block of Holt Ave,0,5,https://www.gunviolencearchive.org/incident/2417863,2022,Sep-22,,,,,,
2417696,9/18/22,Michigan,Allendale,10295 48th Ave,0,4,https://www.gunviolencearchive.org/incident/2417696,2022,Sep-22,,,,,,
2417293,9/17/22,Missouri,Blue Springs,US 40 and Adams Dairy Pkwy,0,5,https://www.gunviolencearchive.org/incident/2417293,2022,Sep-22,,,,,,
2416762,9/17/22,Minnesota,Minneapolis,Hennepin Ave and N 8th St,0,5,https://www.gunviolencearchive.org/incident/2416762,2022,Sep-22,,,,,,
2416625,9/16/22,Wisconsin,Milwaukee,4100 block of N 13th St,0,5,https://www.gunviolencearchive.org/incident/2416625,2022,Sep-22,,,,,,
2414276,9/14/22,Wisconsin,Milwaukee,1300 block of E Hamilton St,0,4,https://www.gunviolencearchive.org/incident/2414276,2022,Sep-22,,,,,,
2415614,9/14/22,Florida,Miami (North Miami),NW 10th Ave and NW 131st St,0,5,https://www.gunviolencearchive.org/incident/2415614,2022,Sep-22,,,,,,
2414858,9/14/22,California,Los Angeles,312 E 5th St,0,4,https://www.gunviolencearchive.org/incident/2414858,2022,Sep-22,,,,,,
2414080,9/13/22,Illinois,Chicago,5531 S King Dr,2,7,https://www.gunviolencearchive.org/incident/2414080,2022,Sep-22,,,,,,
2415479,9/13/22,California,Oakland,92nd Ave and Peach St,0,4,https://www.gunviolencearchive.org/incident/2415479,2022,Sep-22,,,,,,
2413596,9/12/22,Oklahoma,Oklahoma City,1400 block of S Indiana Ave,0,4,https://www.gunviolencearchive.org/incident/2413596,2022,Sep-22,,,,,,
2412198,9/11/22,Michigan,Detroit,13000 block of E Warren Ave,0,4,https://www.gunviolencearchive.org/incident/2412198,2022,Sep-22,,,,,,
2412164,9/11/22,New Mexico,Santa Fe,Paseo Feliz,0,5,https://www.gunviolencearchive.org/incident/2412164,2022,Sep-22,,,,,,
2412289,9/11/22,Michigan,Grand Rapids,,0,4,https://www.gunviolencearchive.org/incident/2412289,2022,Sep-22,,,,,,
2412487,9/11/22,North Carolina,Durham,4400 block of NC-55,1,3,https://www.gunviolencearchive.org/incident/2412487,2022,Sep-22,,,,,,
2411801,9/10/22,Indiana,Plainfield,2688 E Main St,2,2,https://www.gunviolencearchive.org/incident/2411801,2022,Sep-22,,,,,,
2411871,9/10/22,Kentucky,Lexington,Georgetown Rd and Parallel Rd,0,4,https://www.gunviolencearchive.org/incident/2411871,2022,Sep-22,,,,,,
2411007,9/9/22,New York,Bronx,810 Astor Ave,0,4,https://www.gunviolencearchive.org/incident/2411007,2022,Sep-22,,,,,,
2410446,9/9/22,Maryland,Elk Mills,47 Hebron Ct,5,0,https://www.gunviolencearchive.org/incident/2410446,2022,Sep-22,,,,,,
2411901,9/9/22,Minnesota,Minneapolis,328 W Broadway Ave,1,3,https://www.gunviolencearchive.org/incident/2411901,2022,Sep-22,,,,,,
2410704,9/8/22,Minnesota,Minneapolis,626 W Broadway Ave,0,4,https://www.gunviolencearchive.org/incident/2410704,2022,Sep-22,,,,,,
2410269,9/8/22,California,Los Angeles,4th St and Broadway,0,4,https://www.gunviolencearchive.org/incident/2410269,2022,Sep-22,,,,,,
2408990,9/7/22,Tennessee,Memphis,3100 block of Lyndale Ave,3,3,https://www.gunviolencearchive.org/incident/2408990,2022,Sep-22,,,,,,
2407734,9/5/22,Missouri,Kansas City,7320 Manchester Ave,2,2,https://www.gunviolencearchive.org/incident/2407734,2022,Sep-22,,,,,,
